Rank, Name,Year,Rating
1, Cadena perpetua,1994,9.3 (2.9M)
2, El padrino,1972,9.2 (2M)
3, El caballero oscuro,2008,9.0 (2.9M)
4, El padrino parte II,1974,9.0 (1.4M)
5, 12 hombres sin piedad,1957,9.0 (881K)
6, La lista de Schindler,1993,9.0 (1.5M)
7, El señor de los anillos: El retorno del rey,2003,9.0 (2M)
8, Pulp Fiction,1994,8.9 (2.3M)
9, El señor de los anillos: La comunidad del anillo,2001,8.9 (2M)
10," El bueno, el feo y el malo",1966,8.8 (822K)
11, Forrest Gump,1994,8.8 (2.3M)
12, El señor de los anillos: Las dos torres,2002,8.8 (1.8M)
13, El club de la lucha,1999,8.8 (2.4M)
14, Origen,2010,8.8 (2.6M)
15, El imperio contraataca,1980,8.7 (1.4M)
16, Matrix,1999,8.7 (2.1M)
17, Uno de los nuestros,1990,8.7 (1.3M)
18, Alguien voló sobre el nido del cuco,1975,8.7 (1.1M)
19, Interstellar,2014,8.7 (2.2M)
20, Seven,1995,8.6 (1.8M)
21, ¡Qué bello es vivir!,1946,8.6 (505K)
22, Los siete samuráis,1954,8.6 (371K)
23, El silencio de los corderos,1991,8.6 (1.6M)
24, Salvar al soldado Ryan,1998,8.6 (1.5M)
25, Ciudad de Dios,2002,8.6 (811K)
